,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keywords,volume,price,manufacturer,ingredients,brewery,description,representative,address,contact,website,foodPairing,imageURL,detailPageUrl,docId
437,437,청명주,4.0,4.0,2.0,4,17,0.0,약주/청주,단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀  선물,500ml,23000,중원당,"국내산찹쌀,누룩,소맥분",,,,,,,,,,legacy_437
438,438,청산녹수 꿀막걸리,1.0,2.0,3.0,4,8,0.0,탁주,청량감 바디감     탁주 쌀 사과 꿀,750ml,1500,농업회사법인(주)청산녹수,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",,"농업회사법인(주)청산녹수의 '청산녹수 생탁'에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. (주)청산녹수만의 전통 누룩을 사용하여 전통적인 막걸리 맛을 지키면서 트랜디한 단맛을 자랑하는 제품이다.",,,,,양념 갈비와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681185-%EC%B2%AD%EC%82%B0%EB%85%B9%EC%88%98%20%EA%BF%80%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5681185&cid=58637&categoryId=58656,5681185
439,439,청산녹수 사미인주,2.0,2.0,4.0,3,8,0.0,탁주,청량감 바디감     탁주 쌀 꿀  무감미료,750ml,4000,농업회사법인(주)청산녹수,"유기농햅쌀(국내산), 벌꿀(국내산), 입국, 누룩, 효모, 정제수",,송강 정철의 가사(歌詞) 사미인곡(思美人曲)을 모티브로 '님에 대한 그리움이 어찌 달콤하기만 하겠는가!'라는 맛에 대한 상상을 막걸리의 맛으로 표현하였다. 전라남도 장성에서 생산된 친환경 쌀과 직접 띄운 전통누룩으로 정성스럽게 빚고 숙성시킨 1세대 프리미엄 막걸리이다. 인공감미료가 첨가되지 않아 조금 드라이한 맛으로 천연 벌꿀과 국내산 사과 농축액을 더해 싱그러운 과일 향과 산뜻한 풍미를 살린 제품이다.,,,,,닭강정과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681184-%EC%B2%AD%EC%82%B0%EB%85%B9%EC%88%98%20%EC%82%AC%EB%AF%B8%EC%9D%B8%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681184&cid=58637&categoryId=58656,5681184
440,440,청산녹수 생탁주,1.0,3.0,3.0,3,6,0.0,탁주,신맛 청량감 바디감     탁주 쌀 사과,750ml,1000,농업회사법인(주)청산녹수,"쌀(국내산), 사과농축액, 효모, 정제효소",,"농업회사법인(주)청산녹수에서 생산하고 있는 제품으로 막걸리 본연의 맛을 간직한 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. (주)청산녹수만의 전통 누룩을 사용하여 은은한 바나나 향과 부드러운 질감이 특징이다.",,,,,닭도리탕이나 양념된 고기류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681186-%EC%B2%AD%EC%82%B0%EB%85%B9%EC%88%98%20%EC%83%9D%ED%83%81%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681186&cid=58637&categoryId=58656,5681186
441,441,청세주,3.0,1.0,1.0,4,18,0.0,약주/청주,단맛   바디감     약주/청주 쌀,375ml,4000,병영주조장,쌀(100%),,"청세주(靑世酒)는 '세상을 푸르게 하는 술'이란 뜻으로 햅쌀을 발효한 후, 여과와 살균 처리 과정을 거쳐 오랜 시간 숙성해, 향이 은은하고 숙취부담이 없다. 청사과 같은 새콤한 느낌을 가진 술이면서도 단맛이 적고 부드러워 대중에게 꾸준히 사랑받고 있는 술이다.",,,,,삼겹살이 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551579-%EC%B2%AD%EC%84%B8%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=3551579&cid=58637&categoryId=58656,3551579
442,442,청송 얼음골 동동주,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,"1,200ml",1800,청송양조장,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 아스파탐, 청송사과액즙, 정제수",,"청송 얼음골 동동주는 청송을 대표하는 막걸리로 알콜올 도수 6도로 청정지역 청송의 깨끗한 자연환경에서 빚어내는 막걸리입니다. 쌀과 밀의 조화로운 발효로 빚고 있으며, 막걸리 특유의 구수한 향과 예스러움을 간직한 막걸리입니다. 청송 얼음골 동동주는 청송 쌀과 밀, 그리고 시골인심을 버무려 빚은 막걸리다. 깊고 은은한 뒷맛이 일품이고 많이 마셔도 다음날 머리가 아프지 않다.",,,,,"탄산에 의한 청량미와 산미가 잘 갖춰져있기 때문에 기름진 김치전, 파전 등이 매우 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040711-%EC%B2%AD%EC%86%A1%20%EC%96%BC%EC%9D%8C%EA%B3%A8%20%EB%8F%99%EB%8F%99%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040711&cid=58637&categoryId=58657,6040711
443,443,청송 주왕 사과막걸리,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,750ml,1500,청송양조장,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 아스파탐, 청송사과액즙, 정제수",,"청송 사과막걸리 주왕은 청정지역 청송군에서 재배되는 사과와 쌀을 사용하고 지하 150m 지하수로 만든 막걸리다. 청송을 대표하는 막걸리로 알콜올 도수 6도로 청정지역 청송의 깨끗한 자연환경에서 빚어내는 막걸리다. 쌀과 밀의 조화로운 발효로 빚고 있으며, 쌀은 묵은 쌀이 아닌 햅쌀만을 사용하여 최고의 품질을 유지하고 있다. 장시간 발효를 하므로 두통과 숙취가 덜하고고 새콤달콤한 맛을 낸다.",,,,,과일샐러드 등 가벼운 음식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040712-%EC%B2%AD%EC%86%A1%20%EC%A3%BC%EC%99%95%20%EC%82%AC%EA%B3%BC%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=6040712&cid=58637&categoryId=58657,6040712
444,444,청양 둔송 구기주,3.0,1.0,1.0,2,16,0.0,약주/청주,단맛        약주/청주 쌀 구기자 감초  선물,700ml,11500,청양둔송구기주,"쌀, 누룩, 구기자, 감초, 두충껍질",,충남 청양의 둔송 구기주는 운곡면 광암리 하동 정씨 10대 종부인 임영순 명인의 손끝에서 빚어지는 명주이다. 구기주란 명칭은 한약재인 구기자를 주원료로 사용한데서 비롯되는데 조선시대 실학자 홍만선의 ‘산림경제’와 서유구의 ‘임원경제지’에서도 구기주로 표현하고 있다. 둔송 구기주는 임명인까지 10대째 종가에서 빚는 가양주이자 지역 명주로 사랑받고 있다. 임명인은 58년 21세에 시집온 이후 51년 동안 구기주를 빚고 있다. 지난 96년 농림수산식품부의 식품명인 11호로 지정된데 이어 2000년 충남 무형문화재 30호로 선정됐다.,,,,,양념된 고기류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595263-%EC%B2%AD%EC%96%91%20%EB%91%94%EC%86%A1%20%EA%B5%AC%EA%B8%B0%EC%A3%BC700ml_main.JPG,https://terms.naver.com/entry.naver?docId=3595263&cid=58637&categoryId=58654,3595263
445,445,청진주,2.0,2.0,1.0,1,16,0.0,약주/청주,약주/청주 쌀 찹쌀  선물,375ml,30000,전통주연구개발원,"찹쌀, 누룩, 정제수",,"'청진주'는 경기도 가평의 청정지역에서 좋은 쌀과 물을 사용하여 100일 이상 저온에서 발효와 숙성을 통해 완성된 술이다. 인공첨가물 없이 전통누룩만을 사용하여 발효하여 향과 맛을 낸 술이다. 잡내가 없고 단맛이 적으며 깔끔한 목 넘김에 술을 마시고 나서도 입에 남는 잔향이 경쾌한 술이다,",,,,,새우 소금구이와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681238-%EC%B2%AD%EC%A7%84%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681238&cid=58637&categoryId=58651,5681238
446,446,청춘,2.0,2.0,1.0,3,15,0.0,약주/청주,바디감     약주/청주 쌀,750ml,20000,농업회사법인신탄진주조(주),"쌀, 누룩, 정제수",,청주는 곡류 중 쌀(찹쌀 포함)과 입국(쌀알에 누룩 곰팡이를 번식시킨 국) 물을 첨가해 발효시킨 다음 맑게 여과한 술을 일컫는다. 신탄진주조에서 생산한 '청춘'은 한국 청주의 부활을 이끌고자 개발된 제품이다. 국내산 쌀과 전통누룩을 사용하여 정성스럽게 빚은 제품으로 맑은 빛깔과 깨끗한 맛을 내는 한국 전통 청주이다. 한국 청주의 특징인 누룩으로 인한 감칠맛이 일품이고 잔잔한 단맛과 부드러운 목넘김 또한 좋다.,,,,,알코올 도수가 있어서 저녁에 반주로 먹으면 좋을 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595295-%EC%B2%AD%EC%B6%98750ml_main.JPG,https://terms.naver.com/entry.naver?docId=3595295&cid=58637&categoryId=58648,3595295
