index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
484,포엠화이트와인,4.0,4.0,4.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도  과일류,750ml,35000,갈기산포도농원(주)농업회사법인,청포도,,,,legacy_480
485,풍남문,2.0,3.0,4.0,2,5,0.0,기타주류,신맛 청량감      기타주류 보리,1000ml,9000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수",,,,legacy_481
486,풍정사계동,2.0,,,3,25,0.0,증류주,향기    바디감     증류주  선물,375ml,25000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_482
487,풍정사계추,1.0,2.0,1.0,4,12,0.0,탁주,바디감     탁주  선물,500ml,15000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_483
488,풍정사계춘,2.0,1.0,1.0,3,15,0.0,약주/청주,바디감     약주/청주  선물,500ml,30000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_484
489,풍정사계하,4.0,1.0,1.0,3,18,0.0,약주/청주,단맛   바디감     약주/청주,500ml,35000,농업회사법인(유)화양,"국내산찹살,향온곡",,,,legacy_485
490,하향주,3.0,3.0,1.0,4,17,0.0,약주/청주,단맛 신맛  바디감     약주/청주 쌀 찹쌀,750ml,45000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수",,,,legacy_486
491,하향주증류주,,,,4,45,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀,700ml,70000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수",,,,legacy_487
492,한비동충하초술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오가피,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",,,,legacy_488
493,한비무병장수술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오미자 복분자 구기자 삼 산수유 오가피  삼(蔘)류,375ml,30000,제천한약영농조합법인,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",,,,legacy_489
494,한비쌀소주,,,,2,40,0.0,증류주,목넘김    증류주 쌀,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,정제수",,,,legacy_490
495,한비오가피술,,,,3,35,0.0,기타주류,바디감     기타주류 쌀 오가피,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,정제수",,,,legacy_491
496,한산소곡주,3.0,1.0,,4,18,0.0,약주/청주,단맛   바디감 목넘김    약주/청주 쌀 찹쌀 생강  선물,360ml,6500,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",,,,legacy_492
497,한스오차드사과와인,4.0,3.0,2.0,2,11,0.0,과실주,단맛 신맛       과실주 사과  홈술,750ml,20000,(주)한국애플리즈,국산사과원액,,,,legacy_493
498,한시울,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 쌀,500ml,18000,농업회사법인명세주가(주),"국내산쌀,누룩,효모,구연산,정제수",,,,legacy_494
499,한주,,,,3,35,0.0,증류주,향기    바디감 목넘김    증류주 쌀 밀,360ml,12000,한주양조,"국내산쌀,밀누룩,정제수",,,,legacy_495
500,해미읍성딸기와인,3.0,2.0,1.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"해미딸기,아황산염,소르빈산염",,,,legacy_496
501,해미읍성매실와인,5.0,1.0,2.0,4,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"매실,아황산염,소르빈산염",,,,legacy_497
502,해미읍성모과와인,3.0,2.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"모과,아황산염,소르빈산염",,,,legacy_498
503,해미읍성살구와인,3.0,2.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주,500ml,20000,농업회사법인해미읍성딸기와인(주),"살구,아황산염,소르빈산염",,,,legacy_499
504,해방주18.8,,,,2,18.8,0.0,증류주,증류주 쌀  저도수,375ml,12000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정세효소제,구연산",,,,legacy_500
505,해방주38,,,,3,38,0.0,증류주,향기    바디감 목넘김    증류주 쌀,800ml,45000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정제효소제,구연산",,,,legacy_501
506,해창12도생막걸리,1.0,1.0,2.0,2,12,0.0,탁주,탁주 쌀 찹쌀,900ml,10000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_502
507,해창9도생막걸리,1.0,1.0,2.0,2,9,0.0,탁주,탁주 쌀 찹쌀  홈술,900ml,6000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_503
508,해창찹쌀생막걸리,1.0,1.0,3.0,2,6,0.0,탁주,청량감      탁주 쌀 찹쌀,900ml,3000,해창주조장,"햅쌀,찹쌀,물,누룩",,,,legacy_504
509,해파랑,3.0,1.0,1.0,3,13,0.0,약주/청주,단맛   바디감     약주/청주 쌀,375ml,10000,농업회사법인(주)영덕주조,"쌀,해방풍,계량누룩,젖산,이소말토올리고당,정제수",,,,legacy_505
510,햇찹쌀이하늘수,3.0,3.0,3.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 찹쌀,500ml,1100,안양주조장,"쌀,찹쌀,전통누룩,정제수",,,,legacy_506
511,행운막걸리,3.0,1.0,1.0,4,6,0.0,탁주,단맛   바디감     탁주 쌀,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,정제효소,종국,효모,젖산,아스파탐",,,,legacy_507
512,행운주,2.0,2.0,2.0,2,12,0.0,약주/청주,약주/청주 밀,750ml,9000,성포양조장,"백미,밀누룩,정제수,종국,효모,아스파탐",,,,legacy_508
513,향수우리밀막걸리,2.0,3.0,3.0,5,9,0.0,탁주,신맛 청량감 바디감     탁주 밀,700ml,7900,이원양조장,"우리밀,누룩,정제수,무감미료",,,,legacy_509
514,허니문와인,4.0,2.0,2.0,2,10,0.0,기타주류,단맛        기타주류 꿀  파티,375ml,35000,아이비영농조합법인,국내산벌꿀,,,,legacy_510
515,허니비와인,3.0,1.0,1.0,4,8,0.0,기타주류,단맛   바디감     기타주류 꿀  파티,500ml,35000,아이비영농조합법인,국내산벌꿀,,,,legacy_511
516,호담,2.0,,,2,20,0.0,기타주류,기타주류 삼  삼(蔘)류,300ml,18000,대농바이오우리산삼,"산양산삼,정제수,주정",,,,legacy_512
517,호담산양산삼막걸리,1.0,3.0,3.0,1,6,0.0,탁주,신맛 청량감      탁주 쌀 삼,750ml,1800,대농바이오우리산삼,"쌀,입국,산양산삼,정제수,아스파탐",,,,legacy_513
518,호담산양산삼주,1.0,1.0,1.0,3,13,0.0,약주/청주,바디감     약주/청주 삼,375ml,4000,대농바이오우리산삼,"산양산삼,정제주,주정",,,,legacy_514
519,호땅,3.0,1.0,2.0,4,6,0.0,기타주류,단맛   바디감     기타주류 쌀 땅콩,750ml,2700,배혜정도가,"쌀,국,효모,정제수,땅콩",,,,legacy_515
520,호랑이생막걸리,4.0,1.0,2.0,2,6,0.0,탁주,단맛        탁주 쌀,750ml,2200,배혜정도가,"쌀,정제수,국,효모,젖산등",,,,legacy_516
521,호모루덴스,1.0,2.0,2.0,4,12,0.0,탁주,바디감     탁주 쌀  드라이,500ml,12000,농업회사법인(주)산수,"쌀,누룩,정제수",,,,legacy_517
522,혼디주,4.0,3.0,3.0,2,12,0.0,과실주,단맛 신맛 청량감      과실주 귤  선물,330ml,8000,농업회사법인(주)시트러스,"감귤,정제수,백설탕,구연산,무수아황산",,,,legacy_518
523,홍로,,,,2,45,0.0,증류주,향기         증류주 쌀 찹쌀,500ml,50000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩,자초",,,,legacy_519
524,홍삼명주,1.0,3.0,,1,14,0.0,기타주류,신맛   목넘김 담백   기타주류 삼  삼(蔘)류,375ml,12000,자연과인삼,"홍삼추출액,효모,정백당,정제수",,,,legacy_520
525,홍천강탁주,2.0,3.0,2.0,4,11,0.0,탁주,신맛  바디감     탁주 쌀,500ml,10000,예술,"홍천쌀,정제수,국",,,,legacy_521
526,화주,,,,1,25,0.0,증류주,목넘김    증류주 쌀 삼  삼(蔘)류,375ml,13000,내국양조,"국내산쌀,홍삼농축액,정제수",,,,legacy_522
527,황금보리소주17,,,,2,17,0.0,증류주,증류주 보리,375ml,5000,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_523
528,황금보리소주25,,,,2,25,0.0,증류주,향기         증류주 보리,375ml,8500,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_524
529,황금보리소주40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 보리,375ml,15700,황금보리(유)농업회사법인,"보리,누룩,정제수",,,,legacy_525
530,황진이,3.0,2.0,1.0,3,12,0.0,약주/청주,단맛   바디감     약주/청주 쌀 오미자 산수유,375ml,3500,농업회사법인(유)술소리,"쌀,오미자,산수유",,,,legacy_526
531,황칠주,,,,2,16,0.0,기타주류,목넘김    기타주류,365ml,9900,왕지케양조장(제주본초협동조합),"황칠나무잎,정제수,,효모",,,,legacy_527
532,회곡생동동주,3.0,2.0,3.0,3,7,0.0,탁주,단맛  청량감 바디감     탁주 쌀,"1,200ml",1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",,,,legacy_528
533,회곡생막걸리,2.0,2.0,2.0,4,6,0.0,탁주,바디감     탁주 쌀,750ml,1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",,,,legacy_529
534,흑돈주,,,,2,16,0.0,기타주류,목넘김    기타주류,365ml,12000,왕지케양조장(제주본초협동조합),"황칠나무,정제수,,효모",,,,legacy_530
535,희양산막걸리15,3.0,4.0,1.0,5,15,0.0,탁주,단맛 신맛  바디감     탁주 쌀  무감미료,500ml,9500,두술도가,"쌀,누룩,정제수",,,,legacy_531
536,희양산막걸리9,2.0,3.0,2.0,3,9,0.0,탁주,신맛  바디감  담백   탁주 쌀  무감미료,750ml,8000,두술도가,"쌀,누룩,정제수",,,,legacy_532
