index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
384,자연담은복분자막걸리,2.0,1.0,1.0,5,6,0.0,탁주,바디감     탁주 쌀 복분자,360ml,2800,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수",,,,legacy_380
385,자연송이주,1.0,,,1,18,0.0,기타주류,기타주류 버섯,720ml,16000,솔래원,자연송이버섯,,,,legacy_381
386,자희향국화주,1.0,2.0,1.0,4,15,0.0,약주/청주,바디감     약주/청주 쌀 찹쌀  무감미료,500ml,20000,자희자양,"찹쌀,멥쌀,누룩,정제수,국화",,,,legacy_382
387,자희향나비생탁주,2.0,1.0,2.0,2,8,0.0,탁주,탁주 쌀 찹쌀,500ml,8000,자희자양,"찹쌀,멥쌀,누룩,정제수",,,,legacy_383
388,자희향탁주,2.0,2.0,1.0,3,12,0.0,탁주,바디감     탁주 쌀 찹쌀  선물,500ml,16000,자희자양,"찹쌀,멥쌀,누룩,정제수",,,,legacy_384
389,장수생막걸리,2.0,3.0,3.0,3,6,0.0,탁주,신맛 청량감 바디감     탁주  탄산,750ml,1200,서울장수주식회사,"백미,말토올리고당",,,,legacy_385
390,장수오미자주,3.0,4.0,4.0,3,16.5,0.0,과실주,단맛 신맛 청량감 바디감   탄닌감  과실주 오미자  베리류,360ml,5400,농업회사법인(주)알에프,"오미자,정제수,주정,설탕,효모",,,,legacy_386
391,장홍삼장수막걸리,1.0,4.0,3.0,5,6,0.0,탁주,신맛 청량감 바디감     탁주 삼,750ml,2000,서울장수주식회사,"백미,말토올리고당,홍삼분말",,,,legacy_387
392,정고집나주배약주15,4.0,2.0,3.0,2,15,0.0,약주/청주,단맛  청량감   담백   약주/청주 쌀  과일류,500ml,20000,남도탁주,"쌀,쌀가루,배착즙액,정제효소제,종국,젖산,효모",,,,legacy_388
393,정고집나주배약주9,4.0,2.0,3.0,3,9,0.0,약주/청주,단맛  청량감 바디감     약주/청주 쌀  과일류,500ml,18000,남도탁주,"쌀,쌀가루,배착즙액,정제효소제,종국,젖산,효모",,,,legacy_389
394,정고집나주쌀생막걸리,3.0,3.0,3.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀,750ml,1200,남도탁주,"쌀,쌀가루,조제종국,정제효소,젖산,아스파탐,아세셀팜칼",,,,legacy_390
395,정고집옛날생동동주,3.0,3.0,4.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀,750ml,1800,남도탁주,"쌀,쌀가루,조제종국,정제효소,젖산,아스파탐,아세셀팜칼",,,,legacy_391
396,제주고소리술,,,,3,40,0.0,증류주,향기    바디감     증류주,400ml,45000,제주술익는집,"잡곡,누룩,정제수",,,,legacy_392
397,젤코바스페셜,2.0,4.0,2.0,3,11.5,0.0,과실주,신맛  바디감     과실주 포도 머루  베리류,375ml,17000,농업회사법인(주)젤코바와이너리,"국내산산머루,MBA포도",,,,legacy_393
398,젤코바캠벨와인,3.0,4.0,2.0,3,13.5,0.0,과실주,단맛 신맛  바디감     과실주 포도  베리류,750ml,62500,농업회사법인(주)젤코바와이너리,"유기농캠벨포도,유기농설탕",,,,legacy_394
399,젤코바프리미엄와인,1.0,4.0,2.0,4,12,0.0,과실주,신맛  바디감     과실주 포도 머루  베리류,500ml,33000,농업회사법인(주)젤코바와이너리,"국내산산머루,MBA포도",,,,legacy_395
400,조선주조사,3.0,3.0,2.0,3,14,0.0,약주/청주,단맛 신맛  바디감     약주/청주 쌀  홈술,300ml,4000,농업회사법인우포의아침(주),"쌀,입국,누룩,주정,정제수",,,,legacy_396
401,조은술세종바나나주,3.0,1.0,3.0,4,4,0.0,기타주류,단맛  청량감 바디감  담백   기타주류 쌀  과일류,750ml,1700,조은술세종,"쌀,국,정제수,바나나농축액,조제종국,효모,물엿등",,,,legacy_397
402,주몽복분자주,3.0,1.0,1.0,3,16,0.0,기타주류,단맛   바디감     기타주류 쌀 복분자  베리류,375ml,5000,농업회사법인(유)술소리,"쌀,복분자",,,,legacy_398
403,주산지막걸리,2.0,1.0,2.0,2,6,0.0,탁주,탁주 쌀 밀,750ml,1200,청송양조장,"쌀,밀가루,누룩,입국,효모,고과당,물엿,아스파탐,삭카린나트륨,정제수",,,,legacy_399
404,주시락톡쏘는복분자막걸리,5.0,1.0,3.0,5,6,0.0,탁주,단맛  청량감 바디감     탁주 쌀 복분자,750ml,1800,가평우리술,"쌀,정제수,쌀입국,복분자원액,효모등",,,,legacy_400
405,죽력고,,,,3,32,0.0,증류주,향기    바디감     증류주 쌀  선물,700ml,60000,태인합동주조,"국내산쌀,죽력,누룩,정제수",,,,legacy_401
406,죽향생막걸리,1.0,2.0,4.0,1,6,0.0,탁주,청량감      탁주 쌀,750ml,2000,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수",,,,legacy_402
